M1 signature	M2a signature	M2c signature	Phagocytic	Oxidative stress	Inflammatory	Remodeling
			Sgpp1			
			Plin3			
			Kctd12			
			Uchl3			
			Slc25a51			
			Stat3			
			Cpne3			
			Tmx1			
			Map7d1			
			Ech1			
			Swap70			
			Cmtm6			
			Zmiz1			
			Lamtor1			
			Caml			
			Dnase2a			
			Ykt6			
			Rassf3			
			Mrpl34			
			Igsf8			
			Smim15			
			Comt			
			Tmem50a			
			Mapk3			
			Lamtor3			
			Rab24			
			Fos			
			Stx4a			
			Plxnb2			
			Ncbp2			
			Zfand5			
			Cndp2			
			Gna12			
			Mkln1			
			Lypla2			
			Pnrc1			
			Eif4g2			
			Mrpl27			
			Tspan3			
			Fam234a			
			Gaa			
			Pacsin2			
			Epn1			
			Txndc12			
			Dynlt3			
			Syap1			
			Hist1h2bc			
			Gnpda1			
			Il10rb			
			Eif5b			
			Pon2			
			Dctn5			
			Tnfsf12			
			Clptm1			
			Hnrnpu			
			Kras			
			Psmd1			
